#1_usercol 2_usercol 3_usercol 7.5
Pdest_CA_v0.1-1 0 20000 0.5437
Pdest_CA_v0.1-1 10000 30000 0.5194
Pdest_CA_v0.1-1 20000 40000 0.515
Pdest_CA_v0.1-1 30000 50000 0.51205
Pdest_CA_v0.1-1 40000 60000 0.50725
Pdest_CA_v0.1-1 50000 70000 0.5032
Pdest_CA_v0.1-1 60000 80000 0.5168
Pdest_CA_v0.1-1 70000 90000 0.529
Pdest_CA_v0.1-1 80000 100000 0.5193
Pdest_CA_v0.1-1 90000 110000 0.51465
Pdest_CA_v0.1-1 100000 120000 0.52905
Pdest_CA_v0.1-1 110000 130000 0.5278
Pdest_CA_v0.1-1 120000 140000 0.5206
Pdest_CA_v0.1-1 130000 150000 0.5187
Pdest_CA_v0.1-1 140000 160000 0.50275
Pdest_CA_v0.1-1 150000 170000 0.50045
Pdest_CA_v0.1-1 160000 180000 0.51265
Pdest_CA_v0.1-1 170000 190000 0.52935
Pdest_CA_v0.1-1 180000 200000 0.53335
Pdest_CA_v0.1-1 190000 210000 0.5324
Pdest_CA_v0.1-1 200000 220000 0.5314
Pdest_CA_v0.1-1 210000 230000 0.5243
Pdest_CA_v0.1-1 220000 240000 0.5294
Pdest_CA_v0.1-1 230000 250000 0.5225
Pdest_CA_v0.1-1 240000 260000 0.5138
Pdest_CA_v0.1-1 250000 270000 0.52985
Pdest_CA_v0.1-1 260000 280000 0.5221
Pdest_CA_v0.1-1 270000 290000 0.506
Pdest_CA_v0.1-1 280000 300000 0.5095
Pdest_CA_v0.1-1 290000 310000 0.51675
Pdest_CA_v0.1-1 300000 320000 0.51565
Pdest_CA_v0.1-1 310000 330000 0.512
Pdest_CA_v0.1-1 320000 340000 0.5052
Pdest_CA_v0.1-1 330000 347891 0.507574
Pdest_CA_v0.1-2 0 20000 0.497898
Pdest_CA_v0.1-2 10000 30000 0.4937
Pdest_CA_v0.1-2 20000 40000 0.5122
Pdest_CA_v0.1-2 30000 50000 0.53045
Pdest_CA_v0.1-2 40000 60000 0.5201
Pdest_CA_v0.1-2 50000 70000 0.50765
Pdest_CA_v0.1-2 60000 80000 0.51035
Pdest_CA_v0.1-2 70000 90000 0.5074
Pdest_CA_v0.1-2 80000 100000 0.50235
Pdest_CA_v0.1-2 90000 110000 0.5074
Pdest_CA_v0.1-2 100000 120000 0.5137
Pdest_CA_v0.1-2 110000 130000 0.52755
Pdest_CA_v0.1-2 120000 140000 0.52235
Pdest_CA_v0.1-2 130000 150000 0.5124
Pdest_CA_v0.1-2 140000 160000 0.49695
Pdest_CA_v0.1-2 150000 170000 0.48845
Pdest_CA_v0.1-2 160000 180000 0.5082
Pdest_CA_v0.1-2 170000 190000 0.504905
Pdest_CA_v0.1-2 180000 200000 0.491542
Pdest_CA_v0.1-2 190000 210000 0.5023
Pdest_CA_v0.1-2 200000 220000 0.50805
Pdest_CA_v0.1-2 210000 230000 0.5045
Pdest_CA_v0.1-2 220000 240000 0.51475
Pdest_CA_v0.1-2 230000 250000 0.517
Pdest_CA_v0.1-2 240000 260000 0.52485
Pdest_CA_v0.1-2 250000 270000 0.5351
Pdest_CA_v0.1-2 260000 280000 0.52975
Pdest_CA_v0.1-2 270000 290000 0.51185
Pdest_CA_v0.1-2 280000 300000 0.49965
Pdest_CA_v0.1-2 290000 310000 0.51485
Pdest_CA_v0.1-2 300000 320000 0.5218
Pdest_CA_v0.1-2 310000 325622 0.501536
Pdest_CA_v0.1-3 0 20000 0.50165
Pdest_CA_v0.1-3 10000 30000 0.517618
Pdest_CA_v0.1-3 20000 40000 0.517618
Pdest_CA_v0.1-3 30000 50000 0.5111
Pdest_CA_v0.1-3 40000 60000 0.5075
Pdest_CA_v0.1-3 50000 70000 0.51575
Pdest_CA_v0.1-3 60000 80000 0.514
Pdest_CA_v0.1-3 70000 90000 0.50555
Pdest_CA_v0.1-3 80000 100000 0.51265
Pdest_CA_v0.1-3 90000 110000 0.5151
Pdest_CA_v0.1-3 100000 120000 0.49945
Pdest_CA_v0.1-3 110000 130000 0.503
Pdest_CA_v0.1-3 120000 140000 0.51
Pdest_CA_v0.1-3 130000 150000 0.51495
Pdest_CA_v0.1-3 140000 160000 0.5189
Pdest_CA_v0.1-3 150000 170000 0.51765
Pdest_CA_v0.1-3 160000 180000 0.50955
Pdest_CA_v0.1-3 170000 190000 0.5108
Pdest_CA_v0.1-3 180000 200000 0.5242
Pdest_CA_v0.1-3 190000 210000 0.5046
Pdest_CA_v0.1-3 200000 220000 0.51075
Pdest_CA_v0.1-3 210000 230000 0.526
Pdest_CA_v0.1-3 220000 240000 0.5249
Pdest_CA_v0.1-3 230000 250000 0.5152
Pdest_CA_v0.1-3 240000 260000 0.5084
Pdest_CA_v0.1-3 250000 270000 0.50425
Pdest_CA_v0.1-3 260000 280000 0.50275
Pdest_CA_v0.1-3 270000 290000 0.5253
Pdest_CA_v0.1-3 280000 300000 0.52745
Pdest_CA_v0.1-3 290000 300341 0.519679
Pdest_CA_v0.1-4 0 20000 0.52275
Pdest_CA_v0.1-4 10000 30000 0.54115
Pdest_CA_v0.1-4 20000 40000 0.54135
Pdest_CA_v0.1-4 30000 50000 0.5234
Pdest_CA_v0.1-4 40000 60000 0.52565
Pdest_CA_v0.1-4 50000 70000 0.5077
Pdest_CA_v0.1-4 60000 80000 0.49765
Pdest_CA_v0.1-4 70000 90000 0.5134
Pdest_CA_v0.1-4 80000 100000 0.51785
Pdest_CA_v0.1-4 90000 110000 0.5094
Pdest_CA_v0.1-4 100000 120000 0.51055
Pdest_CA_v0.1-4 110000 130000 0.5082
Pdest_CA_v0.1-4 120000 140000 0.5049
Pdest_CA_v0.1-4 130000 150000 0.50085
Pdest_CA_v0.1-4 140000 160000 0.5007
Pdest_CA_v0.1-4 150000 170000 0.5061
Pdest_CA_v0.1-4 160000 180000 0.50615
Pdest_CA_v0.1-4 170000 190000 0.494144
Pdest_CA_v0.1-4 180000 200000 0.503353
Pdest_CA_v0.1-4 190000 210000 0.52415
Pdest_CA_v0.1-4 200000 220000 0.5113
Pdest_CA_v0.1-4 210000 230000 0.50055
Pdest_CA_v0.1-4 220000 240000 0.5021
Pdest_CA_v0.1-4 230000 250000 0.50705
